latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.53121702,40.48547934,12.6477,0.6640,"POLYGON((40.485502465801 -12.5312120551723, 40.4854674426145 -12.5311969081358, 40.4854562125677 -12.5312219708383, 40.4854912357569 -12.5312371178761, 40.485502465801 -12.5312120551723))",5HV2FF9P+G597
-12.49642752,40.47381646,23.1527,0.7974,"POLYGON((40.4738486461431 -12.4964322021045, 40.4738084207575 -12.4963965495772, 40.4737842862094 -12.4964228392971, 40.4738245115962 -12.4964584918287, 40.4738486461431 -12.4964322021045))",5HV2GF3F+CGGR
-12.53152168,40.48566749,19.2004,0.7934,"POLYGON((40.4856611919438 -12.5314914662025, 40.485638634279 -12.5315095423657, 40.4856737922051 -12.5315518899354, 40.4856963498704 -12.531533813769, 40.4856611919438 -12.5314914662025))",5HV2FF9P+97V3
-12.53136140,40.48525877,13.3372,0.7530,"POLYGON((40.4852816101363 -12.5313532704418, 40.4852440202619 -12.531342439494, 40.4852359398341 -12.5313695075195, 40.4852735297126 -12.5313803384681, 40.4852816101363 -12.5313532704418))",5HV2FF9P+F42F
-12.52993307,40.52146523,39.4600,0.6828,"POLYGON((40.5214852636954 -12.5299695680798, 40.521480622179 -12.5299325306369, 40.5214949463628 -12.529930797984, 40.5214906801462 -12.529896755283, 40.5214379085104 -12.5299031385341, 40.5214468162317 -12.5299742186809, 40.5214852636954 -12.5299695680798))",5HV2FGCC+2HGQ
-12.53166571,40.48552015,19.4887,0.7861,"POLYGON((40.485530257728 -12.5316944939449, 40.4855399681103 -12.5316422874238, 40.4855100389859 -12.5316369143521, 40.4855003285975 -12.5316891208728, 40.485530257728 -12.5316944939449))",5HV2FF9P+86J8
-12.53156406,40.48555330,14.8676,0.7528,"POLYGON((40.4855528268777 -12.5315915078825, 40.4855760106304 -12.531548044525, 40.4855537756776 -12.5315365969379, 40.4855305919206 -12.5315800602925, 40.4855528268777 -12.5315915078825))",5HV2FF9P+96FG
-12.49627453,40.47403127,34.9426,0.7449,"POLYGON((40.4740660841398 -12.4962559027451, 40.4740256350006 -12.496235977261, 40.4739964558013 -12.4962931660875, 40.4740369049481 -12.4963130915751, 40.4740660841398 -12.4962559027451))",5HV2GF3F+FJV2
-12.53020629,40.52097755,18.4445,0.7230,"POLYGON((40.5210089967264 -12.5302140449081, 40.5210045512897 -12.5301886512814, 40.5209461018755 -12.5301985275169, 40.5209505473072 -12.530223921145, 40.5210089967264 -12.5302140449081))",5HV2FG9C+W99M
-12.53118644,40.48501795,31.5215,0.6739,"POLYGON((40.485061168472 -12.5311809213035, 40.4849831351769 -12.5311606855732, 40.4849747290508 -12.5311919733888, 40.4850527623554 -12.5312122091209, 40.485061168472 -12.5311809213035))",5HV2FF9P+G2CG
-12.53090498,40.48511317,28.4357,0.7614,"POLYGON((40.4851458525084 -12.5309234336507, 40.4851465579318 -12.5308877885747, 40.4850804887301 -12.5308865265388, 40.4850797832975 -12.5309221716156, 40.4851458525084 -12.5309234336507))",5HV2FF9P+J2QW
-12.49643622,40.47370319,25.5823,0.7603,"POLYGON((40.4737385639114 -12.4964315703741, 40.4736803885846 -12.4964092573672, 40.4736678302712 -12.4964408691402, 40.4737260056049 -12.4964631821492, 40.4737385639114 -12.4964315703741))",5HV2GF3F+CFGG
-12.53161035,40.48529200,28.4591,0.7956,"POLYGON((40.4853284279321 -12.5316029631719, 40.4852673248251 -12.5315829934781, 40.4852555605049 -12.5316177371446, 40.4853166636199 -12.5316377068401, 40.4853284279321 -12.5316029631719))",5HV2FF9P+943F
-12.53129531,40.48537880,29.3876,0.7344,"POLYGON((40.485412345446 -12.5312844125587, 40.4853719135076 -12.5312612653273, 40.4853452491787 -12.5313062199387, 40.4853856811226 -12.5313293671736, 40.485412345446 -12.5312844125587))",5HV2FF9P+F5J2
-12.49652268,40.47374539,23.5500,0.6661,"POLYGON((40.4737770822802 -12.4965375806977, 40.4737764141915 -12.4965064928799, 40.4737136881594 -12.4965077943246, 40.4737143562402 -12.4965388821435, 40.4737770822802 -12.4965375806977))",5HV2GF3F+9FX5
